slot,core_id,band,plus,minus,plane
1,1,36,1388684,1387279,yes
2,2,38,2431780,2433789,yes
3,3,38,1411521,1409526,yes
4,4,30,400538,405409,yes
5,5,34,1940103,1949553,yes
6,6,33,1870844,1875538,yes
7,7,33,796101,771671,yes
8,8,33,1838241,1844689,yes
9,9,35,3123451,3131168,yes
10,10,34,3197558,3206065,yes
11,11,33,1406898,1409144,yes
12,12,33,2431869,2427631,yes
13,13,34,2590416,2593434,yes
14,14,34,1633205,1637684,yes
15,15,33,2068701,2071168,yes
16,16,34,1115665,1120787,yes
17,17,32,765055,778369,yes
18,18,33,1460549,1454859,yes
19,19,35,2827595,2834694,yes
20,20,33,1481970,1486168,yes
21,21,33,2468700,2470301,yes
22,22,35,2363692,2373564,yes
23,23,34,1415772,1411921,yes
24,24,34,3047119,3060029,yes
25,25,32,1383675,1386388,yes
26,26,33,2526860,2527660,yes
27,27,31,761639,753073,yes
28,28,33,2399342,2399805,yes
29,29,35,2110368,2113455,yes
30,30,32,1329713,1335230,yes
31,31,34,2006521,2013335,yes
32,32,35,1105054,1108711,yes
33,33,35,1207844,1214438,yes
34,34,32,1489535,1482319,yes
35,35,35,2540509,2552222,yes
36,36,33,2535468,2549443,yes
37,37,33,392232,400441,yes
38,38,28,97894,102645,yes
39,39,34,2522271,2527707,yes
40,40,33,2488429,2495769,yes
41,41,33,1493236,1475816,yes
42,42,34,2367782,2374846,yes
43,43,35,1953411,1951921,yes
44,44,34,1315501,1313342,yes
45,45,34,1080284,1082814,yes
46,46,33,1479433,1479534,yes
47,47,34,2048160,2051211,yes
48,48,35,1326301,1328410,yes
49,49,36,600994,602973,yes
50,50,32,767596,783949,yes
51,51,35,1513970,1519964,yes
52,52,34,2390870,2404872,yes
53,53,32,1443307,1446266,yes
54,54,31,775370,770781,yes
55,55,34,3350370,3358579,yes
56,56,34,2495284,2499586,yes
57,57,33,1407316,1394778,yes
58,58,35,2410901,2408762,yes
59,59,28,98308,98380,yes
60,60,30,392140,391943,yes
